,High,Low,Mean
0,6583.5,6522.5,6540.788112522686
0,6571.0,6460.5,6523.246806569343
0,6535.0,6447.5,6490.893829401089
0,6529.0,6469.5,6503.383587786259
0,6515.0,6389.5,6451.210922787194
0,6444.0,6352.0,6406.178370786517
0,6434.0,6377.0,6405.710793357934
0,6454.0,6395.5,6422.080586080586
0,6483.0,6368.5,6429.606946983547
0,6418.5,6343.0,6379.695610687023
0,6380.0,6286.0,6323.653409090909
0,6423.5,6347.0,6386.01867219917
0,6446.5,6388.5,6420.936440677966
0,6415.0,6311.5,6344.265653775322
0,6433.0,6347.0,6380.327097505669
0,6424.0,6381.5,6401.742661448141
0,6444.0,6364.0,6393.964218455744
0,6483.5,6410.0,6452.103240740741
0,6427.0,6375.0,6401.996993987976
0,6418.5,6357.5,6396.18776371308
0,6488.5,6391.0,6452.609808102346
0,6520.0,6472.0,6493.963366336634
0,6587.0,6496.0,6544.741666666667
0,6560.0,6514.0,6533.185452793834
0,6576.5,6532.5,6553.66067961165
0,6584.5,6508.0,6548.56611570248
0,6632.0,6561.0,6589.197318007663
0,6618.5,6551.0,6577.050391389433
0,6635.0,6562.0,6600.977582846004
0,6643.0,6548.0,6599.150980392157
0,6577.0,6577.0,6577.0
0,6619.0,6571.0,6589.946028513238
0,6642.0,6588.0,6617.5388994307405
0,6695.0,6581.0,6643.796261682243
0,6855.0,6661.0,6786.897747747747
0,6843.0,6797.0,6820.306906614786
0,6819.5,6751.0,6780.287753222836
0,6771.5,6699.5,6738.620894160584
0,6728.0,6664.0,6694.332391713748
0,6717.0,6558.5,6633.360412926391
0,6684.0,6611.0,6641.538537549407
0,6670.0,6619.5,6643.061349693252
0,6642.5,6537.0,6587.733816964285
0,6671.0,6499.0,6617.206831119544
0,6612.0,6518.5,6582.773788150808
0,6550.5,6436.5,6490.729963570127
0,6487.0,6425.0,6459.223083941606
0,6506.0,6289.0,6420.265426497278
0,6382.0,6213.5,6273.482727272727
0,6303.0,6122.5,6209.223540145986
0,6387.0,6275.0,6343.6125
0,6333.5,6254.0,6285.663023679417
0,6388.0,6244.0,6340.795289855072
0,6360.0,6266.0,6310.985
0,6370.0,6297.5,6338.923431734317
0,6420.0,6324.0,6393.946846846847
0,6427.5,6351.5,6395.858974358975
0,6408.5,6336.0,6376.526079136691
0,6458.0,6390.0,6421.354619565217
0,6471.0,6393.5,6431.707281553398
0,6412.0,6301.5,6349.7713358070505
0,6354.0,6277.0,6313.875
0,6254.5,6145.0,6192.66134751773
0,6262.0,6111.0,6211.020944741533
0,6300.0,6087.5,6162.023308957952
0,6350.0,6264.0,6307.487588652482
0,6340.0,6245.0,6283.069102112676
0,6245.5,6058.0,6178.1243339254
0,6299.5,6216.0,6255.236913357401
0,6359.0,6253.0,6308.831227436823
0,6385.0,6307.5,6348.790293040293
0,6509.5,6337.0,6440.0625
0,6447.5,6368.0,6409.555506216696
0,6437.5,6282.0,6383.304945054945
0,6444.0,6350.0,6399.08912037037
0,6443.0,6331.5,6386.51197053407
0,6508.0,6448.5,6489.172935779817
0,6555.5,6428.0,6482.068555758684
0,6522.5,6413.0,6482.576401446655
0,6466.5,6412.5,6442.961503623188
0,6480.0,6420.0,6446.131298449613
0,6504.0,6431.5,6467.656702898551
0,6555.0,6475.5,6511.691037735849
0,6530.0,6437.0,6493.0390625
0,6478.0,6363.5,6418.516055045871
0,6390.5,6255.5,6333.625745526839
0,6457.5,6328.0,6388.040613718412
0,6486.5,6391.0,6448.79009009009
0,6512.0,6433.5,6471.0840867992765
0,6505.0,6423.0,6451.975454545454
0,6478.0,6346.5,6411.165640394089
0,6418.5,6347.0,6390.336976320583
0,6405.0,6217.0,6294.605427046264
0,6320.0,6232.0,6263.418145956607
