,Time,Open,High,Low,Close,Volume
34781,2021-01-05 13:05:00,519.5,520.02,519.16,519.5381,34980
34782,2021-01-05 13:10:00,519.506,519.506,519.0501,519.0501,8754
34783,2021-01-05 13:15:00,519.05,519.81,518.825,519.79,10419
34784,2021-01-05 13:20:00,519.765,519.99,519.46,519.52,10946
34785,2021-01-05 13:25:00,519.57,519.89,519.49,519.5001,7458
34786,2021-01-05 13:30:00,519.5,519.505,519.16,519.365,8886
34787,2021-01-05 13:35:00,519.55,520.95,519.55,520.9,19664
34788,2021-01-05 13:40:00,520.965,521.2,520.565,520.72,10235
34789,2021-01-05 13:45:00,520.77,521.1587,520.585,520.915,19315
34790,2021-01-05 13:50:00,521.1,521.3799,520.4,520.45,16066
34791,2021-01-05 13:55:00,520.505,521.04,520.31,520.61,9504
34792,2021-01-05 14:00:00,520.545,520.83,520.4251,520.525,7821
34793,2021-01-05 14:05:00,520.61,521.39,520.3,521.19,28482
34794,2021-01-05 14:10:00,521.08,521.765,521.0701,521.765,22964
34795,2021-01-05 14:15:00,521.7655,521.9499,521.205,521.205,17558
34796,2021-01-05 14:20:00,521.28,521.5,520.79,521.441,16048
34797,2021-01-05 14:25:00,521.645,522.0,521.49,521.66,42189
34798,2021-01-05 14:30:00,521.59,522.0,521.5,521.85,19141
34799,2021-01-05 14:35:00,522.0,522.25,521.44,522.0,64613
34800,2021-01-05 14:40:00,522.08,522.45,521.84,522.22,13692
34801,2021-01-05 14:45:00,522.23,523.9299,522.23,523.645,34478
34802,2021-01-05 14:50:00,523.72,523.72,522.94,523.0576,22641
34803,2021-01-05 14:55:00,523.01,523.115,521.915,522.0558,30811
34804,2021-01-05 15:00:00,522.136,522.2499,521.8001,521.83,17704
34805,2021-01-05 15:05:00,521.92,522.07,521.56,521.95,17871
34806,2021-01-05 15:10:00,521.92,522.58,521.865,522.1884,15728
34807,2021-01-05 15:15:00,522.18,522.18,521.531,521.71,12390
34808,2021-01-05 15:20:00,521.76,522.0,521.1332,522.0,23227
34809,2021-01-05 15:25:00,522.07,522.59,521.29,521.63,30429
34810,2021-01-05 15:30:00,521.77,521.77,520.83,520.83,22050
34811,2021-01-05 15:35:00,520.76,521.5346,520.76,521.195,11988
34812,2021-01-05 15:40:00,521.19,521.3,520.53,520.59,22948
34813,2021-01-05 15:45:00,520.6,521.35,520.41,521.17,21329
34814,2021-01-05 15:50:00,521.26,521.75,520.9969,521.67,36751
34815,2021-01-05 15:55:00,521.82,522.145,520.7,520.73,71746
34816,2021-01-05 16:00:00,520.7,520.95,519.57,520.78,174864
34817,2021-01-05 16:05:00,520.8,520.8,520.75,520.75,20742
34818,2021-01-05 16:10:00,520.9042,520.9042,520.9042,520.9042,407
34819,2021-01-05 16:15:00,520.8,520.8,520.8,520.8,654
34820,2021-01-05 16:20:00,520.8,520.8,520.8,520.8,334
34821,2021-01-05 16:25:00,520.8,520.8,520.8,520.8,469
34822,2021-01-05 16:40:00,520.2,520.75,520.2,520.75,416
34823,2021-01-05 16:55:00,520.8,520.8,520.8,520.8,102
34824,2021-01-05 17:15:00,520.8,520.8,520.8,520.8,97628
34825,2021-01-05 17:20:00,521.9,521.9,521.9,521.9,101
34826,2021-01-05 17:30:00,520.9,520.9,520.04,520.9,963
34827,2021-01-05 18:15:00,522.0,522.0,522.0,522.0,1514
34828,2021-01-05 19:25:00,521.0,521.0,521.0,521.0,224
34829,2021-01-06 04:05:00,513.88,513.88,513.88,513.88,237
34830,2021-01-06 04:10:00,511.13,511.2,510.8,510.8,1409
34831,2021-01-06 04:50:00,512.47,512.47,512.47,512.47,405
34832,2021-01-06 05:05:00,512.5,512.5,512.5,512.5,312
34833,2021-01-06 05:10:00,511.0,511.0,511.0,511.0,1628
34834,2021-01-06 05:15:00,511.0,511.0,511.0,511.0,296
34835,2021-01-06 05:30:00,511.0,511.0,509.9,509.9,917
34836,2021-01-06 05:45:00,508.24,508.24,508.24,508.24,784
34837,2021-01-06 06:00:00,508.0,508.0,508.0,508.0,1565
34838,2021-01-06 06:10:00,508.0,508.0,508.0,508.0,298
34839,2021-01-06 06:15:00,507.5,507.5,507.5,507.5,490
34840,2021-01-06 06:40:00,507.5,507.5,507.5,507.5,132
34841,2021-01-06 06:45:00,507.5,507.5,507.5,507.5,2131
34842,2021-01-06 06:55:00,505.65,508.0,505.0,508.0,6019
34843,2021-01-06 07:05:00,510.4,510.75,508.0,510.75,11999
34844,2021-01-06 07:10:00,511.5,512.0,511.0,512.0,2380
34845,2021-01-06 07:15:00,512.02,512.02,511.5,511.5,2389
34846,2021-01-06 07:20:00,511.44,511.44,511.07,511.07,567
34847,2021-01-06 07:25:00,511.09,511.44,511.0,511.44,839
34848,2021-01-06 07:35:00,512.02,512.03,511.51,511.51,1043
34849,2021-01-06 07:40:00,511.35,511.6,510.95,511.2,4178
34850,2021-01-06 07:45:00,512.02,512.02,511.85,511.85,1342
34851,2021-01-06 07:50:00,512.0,512.19,512.0,512.01,880
34852,2021-01-06 07:55:00,512.13,512.13,512.1,512.1,1140
34853,2021-01-06 08:00:00,512.01,512.01,508.98,509.0,3645
34854,2021-01-06 08:05:00,508.0,512.9999,508.0,510.9999,7503
34855,2021-01-06 08:10:00,510.85,511.0,510.85,511.0,755
34856,2021-01-06 08:25:00,512.5,512.95,512.5,512.95,2128
34857,2021-01-06 08:30:00,513.1,513.1,513.1,513.1,328
34858,2021-01-06 08:35:00,513.0,513.0,512.5,512.5,858
34859,2021-01-06 08:40:00,512.1,512.8,512.0,512.8,1599
34860,2021-01-06 08:50:00,512.8,512.94,511.5,512.94,3551
34861,2021-01-06 09:00:00,512.24,512.24,512.24,512.24,580
34862,2021-01-06 09:05:00,511.06,512.99,511.06,512.99,2618
34863,2021-01-06 09:15:00,512.0,512.0,511.98,511.98,1422
34864,2021-01-06 09:20:00,511.98,511.98,511.98,511.98,331
34865,2021-01-06 09:25:00,512.0,512.0,512.0,512.0,303
34866,2021-01-06 09:30:00,511.18,511.71,511.18,511.71,2029
34867,2021-01-06 09:35:00,511.97,511.97,503.83,505.33,368021
34868,2021-01-06 09:40:00,504.95,508.0,502.69,505.67,192244
34869,2021-01-06 09:45:00,505.55,507.67,504.12,504.5,122947
34870,2021-01-06 09:50:00,504.0,508.0,503.5,507.77,127947
34871,2021-01-06 09:55:00,507.9626,509.0,506.75,507.18,136799
34872,2021-01-06 10:00:00,507.34,507.92,505.9201,506.125,105966
34873,2021-01-06 10:05:00,506.33,507.32,505.36,506.56,64154
34874,2021-01-06 10:10:00,506.82,507.2,505.4211,506.98,38813
34875,2021-01-06 10:15:00,506.98,508.345,506.9568,507.755,64703
34876,2021-01-06 10:20:00,507.7188,508.49,506.41,506.71,47685
34877,2021-01-06 10:25:00,506.66,508.1,506.65,507.735,48882
34878,2021-01-06 10:30:00,507.72,509.43,507.51,507.59,90694
34879,2021-01-06 10:35:00,507.525,508.8416,506.8079,506.9,59855
34880,2021-01-06 10:40:00,507.0099,508.74,506.7538,508.29,78403
34881,2021-01-06 10:45:00,508.54,509.85,508.26,509.795,73756
34882,2021-01-06 10:50:00,509.6001,510.3021,509.37,509.475,53573
34883,2021-01-06 10:55:00,509.57,510.8,509.225,509.44,73688
34884,2021-01-06 11:00:00,509.4,510.76,509.29,509.455,67199
34885,2021-01-06 11:05:00,509.54,510.0,509.02,509.41,51165
34886,2021-01-06 11:10:00,509.41,509.8,508.8601,509.6551,41727
34887,2021-01-06 11:15:00,509.73,511.25,509.68,511.05,51309
34888,2021-01-06 11:20:00,510.51,510.716,509.57,510.2683,35514
34889,2021-01-06 11:25:00,510.28,510.615,509.46,510.05,26201
34890,2021-01-06 11:30:00,510.2999,510.98,510.07,510.74,71260
34891,2021-01-06 11:35:00,510.8,511.3529,510.4,510.7915,25424
34892,2021-01-06 11:40:00,510.91,511.0,508.81,508.81,48839
34893,2021-01-06 11:45:00,508.81,509.3,508.5,508.7,35442
34894,2021-01-06 11:50:00,508.61,509.05,508.5,508.5,24816
34895,2021-01-06 11:55:00,508.61,509.1999,508.16,508.37,22588
34896,2021-01-06 12:00:00,508.395,509.67,507.82,509.01,31022
34897,2021-01-06 12:05:00,509.015,510.5,508.82,509.95,39745
34898,2021-01-06 12:10:00,509.73,511.0,509.7208,509.7208,28044
34899,2021-01-06 12:15:00,509.88,510.27,509.8,509.8,19365
34900,2021-01-06 12:20:00,509.82,510.25,509.49,509.75,27623
34901,2021-01-06 12:25:00,509.65,509.9997,509.48,509.62,17038
34902,2021-01-06 12:30:00,509.74,510.065,508.66,509.582,42248
34903,2021-01-06 12:35:00,509.96,510.2,509.35,509.77,26172
34904,2021-01-06 12:40:00,509.61,509.92,509.03,509.2,14092
34905,2021-01-06 12:45:00,509.205,509.36,508.6,508.67,25389
34906,2021-01-06 12:50:00,508.65,508.91,507.91,508.06,29455
